defaults,distracted,permuted_pairs,permuted_questions,random_permuted_pairs,randoms,only_rhs,random_finals
rectangle => % K % C
circle => C K E","
?

Question 2:
rectangle => 
circle => 
?

Question 3:
","..............

Question 2:

a) square or rectangle
b) square or circle
c)","ƒ K C E

Question 2:

Question 3:

Question 4:

In the","
old => c c
young => c

Question 3:
pencil => K E K
pen =>","
pig => 
rabbit => 
cat => 
dog => 
horse => 
cow","
elephant => E E E

Question 3:
1 - 2 => 1 - 2
6 => 6","
lady => E E E E E

Question 3:
1 2 3 4 5 6 7 8
","
wolf => C

Question 3:
car => C C
plane => C
lamp => C
","
blue =>
green =>
brown => ^

Question 4:
monday => J M
monday","}}}
brown => } } }
blue => } } }

Question 4:
triangle => E
rect","
blue => } V {
yellow => 
green => } V ^

Question 4:
1,","
brown => } {

Question 4:
A => E ^ C
B => C C ^
C","
yellow => 
blue => *

Question 4:
red => *
green => ^
orange =>","
poodle => 
puppy => 
cat => 
goldfish => 

Question 5","
frog => 
hamster => 
rabbit => 
mouse => 
chicken => 
","
rabbit => 
horse => 
cow => 
monkey => 
mouse => 
she","
bat => Q Z I I Q Z I

Question 5:

Question 6:

Question 7","
rabbit => Q Q Z I

Question 5:
A => A Y
B => B Y
C","}}}
Question 2:
car => } ^ {
bicycle => }}}
Question 3:
dog","
elephant => } * [
cow => *
penguin =>

Question 2:
flower","
Question 2:
bird => } ^ {
house => ^
rabbit => } * {

No solution","
Question 2:
bird => } _ {
lizard => 
Question 3:
animal => } _","
bear => } ^ ^

Question 2:
cat => } * * * * * {
wolf =>","
orange => Z I C I
yellow => Z I Z I
green => Z Q I
blue => Z","
white => * I Z
blue => * I Z I
yellow => * I Z I
green => Z",}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}},"
black => Q Z I
white => Q Z I
blue => Q
yellow => ^ { Z I
","
brown => ^
white => Z Z Q I Z I
yellow => Z Q Z I Z Q

","
paw => K K E

Question 4:
square => R Q Z
circle => R Q R","ˆ K % C

Question 4:
chair => Q Q Q Q Q Q Q Q Q Q Q","
penguin => 
koala => 
elephant => 
bear => 
whale =>","### K E #

Question 4:
1 => 1
2 => 2
3 => 3
4 =>","
mouse => M C

Question 4:
A ==> {
B ==> } * {
C","ᵒ C

Question 5:
a => (
b => )

Question 6:
a","
triangle => C C C

I came across this puzzle while browsing the site on a Saturday. I found it","
triangle => C C C C

Question 5:

Question 6:

Question 7:
Question","
square => C C C
triangle => C C C C

Question 5:
1 => ] J ^","
triangle => C C

Question 5:
one => O
two => O
three => O
four","ʼ K % C

Question 2:

Question 3:

Question 4:

Question 5","
Question 2:
apple => A E P
orange => A % P
banana => A B % N","
Question 2:
drawing =>

So my answer was

A king, a queen, a man","....... K % C
boy =>..... C K
girl =>..... K C

Question 2:
","..............

Question 2:
man => C % K E
woman => E % K C

","
triangle => Q Z I Q Z

Question 3:
x => I I I
x + y =>","˅ Q Z I ˅ I

Question 3:
1 => 1
2 => 2
3","
cross => % I I I Q Z

Question 3:
A B C D

Question 4:","
triangle => 
pentagon =>
cube =>

Question 3:
A => A A A
","
triangle => T Q Z Z I
diamond => D Q Z Z I Q Z

Question 3:
","
brown => B B
blue => B B B
white => W W
gray => W W W

","ı c c c

Question 4:
chair => % Q Z J J
table => Q Z J J","
blue => C C

Question 4:
1 => 1 1 0 0 0 1 1 0 0 0 1","
blue => C C C C C
green => C C C C
brown => C C
yellow => C","ᴀ C

Hint:

 There is no word that is the same in both the questions and the drawings","
puppy => ^
dog => ^

Question 5:
a => A
c => C
","
puppy => *

Question 5:
A => F
B => F
C => F
","
lizard => *

Question 5:
a => G
b => G
c => G
d","]^
fish => * ^

Question 5:
circle => C C C
triangle => C C C
","
rabbit => 
turtle => 
horse => 
elephant => 
cow => 
","
yellow => % C % K E
blue => K E % C
green => C K E
orange =>","~~~K~~~E
blue => B E K
purple => E % K % C
green => E K","
green => K E % C
white => E C K

Question 2:

Question 3:
","
Question 2:
A => a
B => b
C => c
D => d
Question 3:","Ɖ K Ɖ C
orange =>? K? Ɖ C
blue => K?? ","...........

Question 3:
lizard => E E E
snake => E E
turtle =>","
horse => C C C

Question 3:
a => c a c
b => d b
c","＼

Question 3:
a => a
b => b
c => c
d => d
","
puppy => c c c
cat => C C

Question 3:
dog => C C C","
hamster => 
horse => 
elephant => 
rabbit => 
fish => 
sn","
manhole => 
manhole cover => 
womanhole => 
manhole cover => 
woman","
child => Q Z I I Q Z I I I

Question 4:
B => W B W
","
man and woman => Q Z I Q Z I
man and woman and child => Q Z I Q Z I","
person => Q Z I Q Z I

Question 4:
a => P Q Z I
b =>","
girl => Q Z I
boy => Q Z I J I

Question 4:
man => J G","~~

Question 5:
p => p p p
h => h h h
f => f f f","]^
triangle => ^

Question 5:
light => O L
dark => O O L
bright =>","
star => *
diamond => } ^
heart => } %

Question 5:
horse => Q Q","]^
triangle => } * {
diamond => } ^ ^

Question 5:
1 => 1 1 1","
triangle => } *

Question 5:
one => L A
two => T A T
three =>",".......

Question 2:
bunch => E % K % C
tank => C K E

","
square => E K C
pillow => A P
rectangle => E % K % C
circle","
line =>

Question 2:

Rectangle => E K C

Question 3:

O","Ɓ % K % E
diamond => E % C K

Question 2:
triangle => % % %","
Question 2:
square => K E C
pillow => A P
rectangle => E % K","
lady => K
girl => K K

Question 3:
horse => Q
cow => K","
lion => L

Question 3:
dog => D
cat => C
elephant => E

","######

Question 3:
The word that begins with the same letter as the word below it.

Question","
lady => 

Question 3:
cat => P P P P
dog => P P P
bear","
elephant => c c

Question 3 (after showing the following drawings):

Question 4 (after showing","
yellow => 
orange => 
green => 
blue => 

Question 4:
spoon =>","
white => 4

Question 4:
A => A
B => B
C => C
D =>","
hat => ^

Question 4:
circle => (C)
square => (E)
triangle =>","
blue => 
orange => 
green => 
yellow => 
purple => 
brown =>","
lamp => 8 8

Question 4:
the man is in the room =>
the man is in","
monkey => 
elephant => 
fish => 
cow => 
horse => 
","
wolf => 
lizard => 
snake => 
fish => 

Question 5:
a","
shark => 
chimpanzee => 
zebra => 
moose => 
","
frog => J E J

Question 5:
car => N N
motorcycle => N N
","
paws => Z Z

Question 5:
frog => Q Q Z Z
cricket =>","
car => A R
horse => A R

Question 2:
molecule => A P
dinos","~~
boy => } ^ {
girl => ^
brick => } ^ {
roof => } *","
car => |
truck => |
truck => |
truck => |
truck => |","〔
boy => |
girl => } *
question 2:
king => } {
queen =>","
tangerine => } ^

Question 2:

The dog is a member of the animal family.","
green => Z Y I Z I

Question 3:
boy => *
girl => ^

Question","
green =>
blue =>
yellow =>
brown =>

Question 3:
a => *
b =>","
white => Q I Q Q
yellow => Q Z Z Z Z Z
green => Q I Q I Q","
yellow => Z I Z Q I
purple => Z Q A A A

Question 3:
l","
white => H D Q Z D
yellow => Z I
green => A Z I

Question 3:","
stove => U H M

Question 4:
A B C
A B U
B C U","
mouse => Q U Q

Question 4:
car => Y Y Y
bus => Y Y Y
","ƒ K E

Question 4:
fish => B E I
catfish => B E I I
","
fox => C K E % K %

Question 4:
bike => } [ ^
truck","
cow => 
horse => 
zebra => 
rabbit => 
monkey => 

","
triangle =>

Question 5:
blue => B
red => R
yellow => Y
green => G","
triangle =>

Question 5:
car => M M M
horse => M M M
plane => M","
triangle => E

Question 5:
book => Q W R D
pencil => Q R D
","
triangle => U U U

Question 5:
dice => R R R R R R
wheel =>","
triangle => U U U

Question 5:

A = A A A A A A A A A","
dog => F % K C

Question 2:
I => T H
you => H T I
","005 C K

Question 2:
king => E K C
queen => E % K % C
","
rabbit => %
elephant => L S %

Question 2:
king => E K C
que","Ị V C

Question 2:
car => C A T
table => T A C
car =>","
horse => % C K

Question 2:
king => E 2 K C
queen => E 2","ƒ Q Q Z Z I I I
point => I I I I

Question 3:
1.","
egg => 8

Question 3:
a => T
b => A
c => C
d =>","000000

Question 3:
A => A B
B => B C
C => A B C
D",".............
triangle => C Z C Z C C C

Question 3:

A:

A","
trapezoid => W S W Z
triangle => S S S Z

Question 3:
","
white => c c

I need the following.

To get the correct answer, first read the question","
yellow => Y Y
purple => C C C C C C

Question 4:
A => A","
purple => C C
blue => C
white => C C

Question 4:
house => O","
orange => C C C
brown => C C
blue => C C
purple => c c
white","
white => 
red and white => 
blue => C C C C C
green => C C C","
litter => B

Question 5:
1st => 1 1
2nd => 2 2
3","
lamp => A P Q P

Question 5:
ball => Z
circle => Z
cross =>","
house => A P Y

Question 5:
coffee => C C
tea => C
mil","
baby => ^ ^

Question 5:
car => Q X Y
bicycle => Q Z","
mouse => ^

Question 5:
dog => } ^ {
puppy => ^
door =>","
Question 2:
door => O
gray => E % C % K
green => K E C
Question","
yellow => K C E
green => K C E
blue => K E

Question 2:
tree","
yellow => C % E K
question 2:
door => X door

A:

Well,","
blue => E K C
white => E K % C

Question 2:
red => K E C","
Question 2:

door => U
brown => O K U
green => O K R O
orange","𝓘𝓬𝓪𝓭

Question 3:
truck","...........

Question 3:
A => A
B => B A B
C => B A
D","ʇ l w (

Question 3:
woman => % W % W
man => % M % M","
house => C C
rock => C C

Question 3:
A => U
B => E R","
frog =>?

Question 3:
rock => R R R
cricket => R K R","
house => Q Z I Q Z I I I I
car => Q Z I Q Z I I

","
bottle => 6

Question 4:
tree => c c c c c c
dog => c","
car => N O N
train => O O O O
foot => X O

Question 4:
","
bear => X I K X I K

Question 4:
red => % % %
blue => %","ƒ Q Z I Q Z I

Question 4:
1 => 1
2 => 2
3 =>","]^

Question 5:
slim => A V B
fat => A V

Question 6:
","
triangle => } ^ {

Question 5:
A => _ R _
B => _ R _ _","~~

Question 5:
A => ^
B => ^
C => /
D => /
E","
triangle => } } ^

Question 5:
elephant => A A W M
snake => A","]^ ^
pentagon => ^^ ^^
hexagon => } ^^ ^^

Question 5:","
What is the last drawing?
a. square
b. oval
c. rectangle
d. circle
","  

Question 2:
moon => ","
Question 2:
cube => E % C % K % E
sphere => E % C % K %","ƒ K C
Question 2:
circle => C E ƒ
triangle => E C E
Question","
Question 2:
triangle => % K % E % C
rectangle => % K % E % C
","ƒ

Question 3:
A => E
B => K
C =>
D =>

Question","
chair => c c c
dog => C
horse => C
elephant => C

Question 3:","
child => C C

Question 3:
house => E C
dog =>?
cat =>?
","
woman => E E
woman => K K

Question 3:
I = 4 = E = 3 =","
elephant => E K E

Question 3:

A:

A:

B:","
white => ^
yellow => ^ ^

Question 4:
a => C K K E
b =>","])

Question 4:
1 2 3 4 5

This is an experiment on general reasoning abilities. You","]^

Question 4:
dog => D
cat => C
rabbit => R

Question 5:
","###
blue => ###

Question 4:
1) => 1 = 1
2) => 2 =","
yellow => ^

Question 4:
apple => P
orange => O

Question 5:
dog","
rabbit => Q Z Z I I

Question 5:
C S C S C
- F - F","
Q Z Z I

Question 5:
tree => [
rabbit =>
]

Question 6:","
hamster => 
lizard => 
snake => 
chicken => 
lobster","
cow => 
horse => 
mouse => 
rabbit => 
rabbit => 
sheep","
mouse => 
rabbit => 
dolphin => 
elephant => 
crocodile =>","
}

Question 2:
The word for the following drawing is: {

Question 3:
The","
child => } ^ child ^ {

Question 2:
bacteria => * * * *
dwarf","
} ^

Question 2:

Question 3:
Question 4:

Question 5:

","
horse => } ^ {

A:

I can't quite make out what you're after, but","~~~
* * * * * *
* * * * *
* * * * *
* * *","
brown => 
white => 
yellow => 
purple => 
green => 
blue =>","
yellow => Z I I I I

Question 3:
A B C D E F G
H I","
blue => Q Z I Q Z I

Question 3:

A:

I'm not sure","
purple => Q Q Z I I
blue => Q Q Z Z I Q
brown => Z Z I","
green => 
yellow => 
blue => Q Q Z Z I
orange => Q Z I
pur","
dog-breed => 
dog-size => 
dog-color => 
dog-hair =>","
doggie => 
doggie => 
doggie => 
doggie => 
doggie =>","
wolf => K K K K K K K K K K K K K K K K K K K K K","
pig => P P Z I Z

Question 4:
elephant => E Y E E Y E","
puppy => % E % C

Question 4:
chair => C Q E
table => C","
diamond => 
pentagon => 
hexagon => 
rhombus => 
triangle => ","
triangle => 

Question 5:
1 2 3 => 2 3 1
2 3 4 => 2 3","
triangle => c c c c

Question 5:
aardvark => R A R
elephant","ƒ

Question 5:
a => a
b => b
c => c
d => d
","
triangle => 
pentagon => 

Question 5:
A => Q Q Q Q Q Q Q Q","
Question 2:
A => C % K % E
B => C K E
C => E % K","..............

Question 2:
woman => % C % E
man => % C K E
que","
joker => 

Question 2:
woman => C + K + E
man => C + K +","
queen =>
king => 
woman => %
man => K
king => C
woman => C","
queen => C 
king => 
man => 
queen => 
woman => 
","
triangle => Q Q

Question 3:
X X X X X X X X X X X X X","
triangle =>

Question 3:
P => B M
Q => B M
R => B M
","
triangle =>

Question 3:
E
C K K K
K C E
K I K C","Ｓ Q Z I I I Q Z Z I I Q Z Z I I

Question 3:
p","
triangle => P

Question 3:
1 2 2 3 4 5 6 7 8 9 10
1 2","
white => C C

Question 4:
truck => R K R M
car => R R M","
blue => 
yellow => 
green => 
orange => 
purple => 
brown =>","
blue => C C
green => C

Question 4:
loud => C % K C
quiet","
purple => C
brown => C
blue => C
silver => C

Question 4:
","
yellow => c c c c c
green => C C C C C
blue => C C C C
","}}} *

Question 5:
(A) A (B) B (C) C (D) D","
hamster => ^

Question 5:
cat => K
dog => K
fox =>
cow","
kitten => kitten

Question 5:
C => C C C
E => E E E
","]^
fish => ^

Question 5:
house => ^
house with a chimney => ^
house","
elephant => } * ^

Question 5:
a => Q Q Z Z I I
b =>","
blue =>

Question 2:
1) what is this? =>
2) where is this? =>","
yellow => 
green => 
orange => 

Question 2:
drawing1 =>
drawing","
green => E % K C

Question 2:
A = S
B = D
C = T","..............
white => C % E K %
yellow => % K % E C

Question 2:"," C K K

Question 2:
B L W
A R M

Question 3:","𝐚 C C C C

Question 3:
dance => C C C
sing => C",".................... (Fill in the blank)

Question 3:
The last drawing is a picture of a man,",".........

Question 3:
(B C)
(B B C)
(B E)
","### C

Question 3:
a => a
b => b
c => C
d => D
","xtc

I don't know how to do this...

A:

I assume you're talking","
queen => 
queen => 
queen => 
queen => 
queen =>","
princess =>

Question 4:
A => A A
B => B B

Question 5:","
queen's court => I

Question 4:
red => C E C E C E C E
","
queen => Q Z I

Question 4:
sister => Q Z Z I Z Q Z
","
queen => Q Z I

Question 4:
dog => A A
cat => A A A
","]^$
triangle => } ^ ^^

Question 5:
dog => A A A A
rabbit =>","
star => *

Question 5:
dog => C C
puppy => c c c
cat","]^ {
triangle => ^ ^

Question 5:
A => A A A
B => B B B","ˆ
triangle => /

Question 5:

Question 6:

Question 7:

Question","]^ } ^ {

Question 5:
A => O A
B => O B
C => O C","
question 2:
A => C C C C C
C => D D D D D
B => C","
horse => C C

Question 2:
A => C C C
B => 
C => C","
horse => c
pig => c
mouse => c
rabbit => c

Question 2:
cat","
wolf => d

Question 2:

Man => C C C

Man => c c c
","
dog => C C C C
cat => C C C C C
lion => C C C C C
","
white => } * *

Question 3:
1. | a b
2. | b c
","
white => {

When you're done, please send your responses to Dr. Dutton, Dr. G","
white => ^

Question 3:
dog => f f f
cat => c c c
rabbit =>","
blue =>

Question 3:
1 2 3 4 5 6 7 8 9 10
1 2 3 4","
green => 
yellow =>

Question 3:
1 = 1
0 = 1
2 = 2","ƒ E K C
circle => E K E

Question 4:
circle => % K E
oval","ƒ K % E

Question 4:
circle => C K E
heart => % K % E
","
heart => E C K
diamond => E % C

Question 4:
cow => E ^ M",")/ K ^

Question 4:
C C C C C C E C C C C
C C C","
triangle => P K C

Question 4:
A => A
A => A
B => B
","
mouse => 
rat => 
snake => 
lizard => 
turtle => 
","
pig => Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z","
pig => R Z R Z R Z
rabbit => R R Z R Z R Z

These are","
pig => 
goat => 
cow => 
chicken => 
lizard =>","
pig => Z Z Z Z Z Z Z Z

Question 5:
horse => T T T Z","
woman => *

Question 2:
apple => } * {
bush => } * {
tree","
Question 2:
boy => *
girl => ^
Question 3:
cow => } * {
","
book => ^

Question 2:
(1) => } * {
(2) => ^
","
Question 2:
car => } * {
boat => ^
plane => } * {
Question 3:","
Question 2:
bird => } ^ {
fish => ^
car => ^
truck => *
","
lamb => E % C % E
chicken => E % C % E

Question 3:
",",^ K % C E

Question 3:
triangle => E, K, C E
circle => K","ƒ K % E

Question 3:
the letter E => ƒ
the letter C => C","ƒ

Question 3:
brick => ƒ K R ƒ
paper => T ^","
puppy => K C %

Question 3:
1 => 1
9 => 9
11 =>",".......

Question 4:
A = {2,2,2}
B = {2,2,","
triangle => 
pentagon => 
hexagon => 
star => 

Question 4:
1","
triangle => C C C

Question 4:
snowman => S S
snowflake =>","
pentagram => E
hexagram => E

Question 4:
p => p
r => r
","４ C ４
triangle => ３ C ３

Question 4:
tree =>","
purple => Q Z I Q Z I

Question 5:
brick => C L B I
","
yellow => Z Z Z Z Z Z Z
orange => Z Z Z Z Z Z Z Z
white =>","
yellow =>
orange =>
blue =>
brown =>
purple =>
white =>

Question 5:","
blue => Q Z I Q Z I I I I
